           1   459570.1
           2   456765.0
           3   452205.7
           4   447647.7
           5   443086.9
           6   438520.4
           7   433959.0
           8   429383.0
           9   424801.2
          10   420234.8
          11   415653.4
          12   411062.7
          13   406477.2
          14   401888.6
          15   397289.4
          16   392695.9
          17   388091.2
          18   383486.8
          19   378874.3
          20   374264.8
          21   369647.5
          22   365016.4
          23   360399.2
          24   355771.2
          25   351130.8
          26   346497.5
          27   341853.5
          28   337209.8
          29   332559.1
          30   327905.8
          31   323246.2
          32   318584.8
          33   313911.9
          34   309256.0
          35   304578.6
          36   299901.5
          37   295222.4
          38   290541.2
          39   285862.5
          40   281175.6
          41   276485.2
          42   271535.9
          43   266584.7
          44   261631.8
          45   256681.8
          46   251723.6
          47   246782.4
          48   241821.1
          49   236883.9
          50   231946.1
          51   227005.6
          52   222079.9
          53   217157.8
          54   212245.5
          55   207344.7
          56   202456.5
          57   197590.9
          58   192729.0
          59   187901.5
          60   183084.3
          61   178292.2
          62   173528.5
          63   168803.7
          64   164108.1
          65   159452.2
          66   154839.4
          67   150271.7
          68   145760.3
          69   141304.2
          70   136910.4
          71   132598.9
          72   128349.7
          73   124190.3
          74   120123.4
          75   116154.0
          76   112292.9
          77   108555.7
          78   104944.9
          79   101477.5
          80   98162.26
